indicator_id,country_id,year,value,magnitude,qualifier
PREPFUTURE.1.MATH.GPIA,DOM,2006,0.8200920224189758,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,DOM,2019,1.068661570549011,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,DZA,2007,1.112489938735962,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,ECU,2006,1.011777400970459,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,ECU,2019,0.9782503843307496,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,ESP,2011,0.8991135358810425,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,ESP,2015,0.9263678193092346,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,ESP,2019,0.9193477630615234,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,FIN,2011,0.9929161667823792,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,FIN,2015,1.067586779594421,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,FIN,2019,0.9945976138114928,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,FRA,2015,0.9692794680595398,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,FRA,2019,0.9146289229393004,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,GAB,2019,0.8238861560821533,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,GBR,2019,1.004341125488281,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,GEO,2007,1.014552712440491,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,GEO,2011,1.039554595947266,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,GEO,2015,1.021207332611084,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,GEO,2019,0.942254900932312,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,GIN,2019,0.6372271776199341,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,GRC,1995,0.9604740142822266,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,GTM,2006,0.7551189661026001,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,GTM,2019,0.7292329668998718,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,HND,2019,0.9081245064735411,NA,UIS_EST
