"Family","Binomial","Toxicity & Dangerousness"
"Colubridae","Calamaria lautensis","unclear toxicity"
"Colubridae","Calamaria leucogaster","unclear toxicity"
"Colubridae","Calamaria linnaei","unclear toxicity"
"Colubridae","Calamaria longirostris","unclear toxicity"
"Colubridae","Calamaria lovii","unclear toxicity"
"Colubridae","Calamaria lumbricoidea","unclear toxicity"
"Colubridae","Calamaria lumholtzi","unclear toxicity"
"Colubridae","Calamaria margaritophora","unclear toxicity"
"Colubridae","Calamaria mecheli","unclear toxicity"
"Colubridae","Calamaria melanota","unclear toxicity"
"Colubridae","Calamaria modesta","unclear toxicity"
"Colubridae","Calamaria muelleri","unclear toxicity"
"Colubridae","Calamaria nebulosa",""
"Colubridae","Calamaria nuchalis","unclear toxicity"
"Colubridae","Calamaria palavanensis","unclear toxicity"
"Colubridae","Calamaria pavimentata","unclear toxicity"
"Colubridae","Calamaria pfefferi","unclear toxicity"
"Colubridae","Calamaria prakkei","unclear toxicity"
"Colubridae","Calamaria rebentischi","unclear toxicity"
"Colubridae","Calamaria sangi","unclear toxicity"
"Colubridae","Calamaria schlegeli","unclear toxicity"
"Colubridae","Calamaria schmidti","unclear toxicity"
"Colubridae","Calamaria septentrionalis","unclear toxicity"
"Colubridae","Calamaria strigiventris",""
"Colubridae","Calamaria suluensis","unclear toxicity"
"Colubridae","Calamaria sumatrana","unclear toxicity"
"Colubridae","Calamaria thanhi","unclear toxicity"
"Colubridae","Calamaria ulmeri","unclear toxicity"
"Colubridae","Calamaria virgulata","unclear toxicity"
"Colubridae","Calamaria yunnanensis","unclear toxicity"
"Colubridae","Calamodontophis paucidens","unclear toxicity"
"Colubridae","Calamodontophis ronaldoi","unclear toxicity"
"Homalopsidae","Calamophis jobiensis","venomous bite – unknown dangerousness"
"Homalopsidae","Calamophis katesandersae","unclear toxicity"
"Homalopsidae","Calamophis ruuddelangi","unclear toxicity"
"Homalopsidae","Calamophis sharonbrooksae","unclear toxicity"
"Colubridae","Calamorhabdium acuticeps","unclear toxicity"
"Colubridae","Calamorhabdium kuekenthali","unclear toxicity"
"Elapidae","Calliophis beddomei","venomous bite – very dangerous"
"Elapidae","Calliophis bibroni","venomous bite – very dangerous"
"Elapidae","Calliophis bilineatus",""
"Elapidae","Calliophis bivirgatus","venomous bite – very dangerous"
"Elapidae","Calliophis castoe","venomous bite – very dangerous"
"Elapidae","Calliophis gracilis","venomous bite – very dangerous"
"Elapidae","Calliophis haematoetron","venomous bite – very dangerous"
"Elapidae","Calliophis intestinalis","venomous bite – very dangerous"
"Elapidae","Calliophis maculiceps","venomous bite – very dangerous"
"Elapidae","Calliophis melanurus","venomous bite – very dangerous"
"Elapidae","Calliophis nigrescens","venomous bite – very dangerous"
"Elapidae","Calliophis nigrotaeniatus",""
"Elapidae","Calliophis philippinus",""
"Elapidae","Calliophis salitan","venomous bite – very dangerous"
"Elapidae","Calliophis suluensis",""
"Viperidae","Calloselasma rhodostoma","venomous bite – very dangerous"
"Boidae","Candoia aspera",""
"Boidae","Candoia bibroni",""
"Boidae","Candoia carinata",""
"Boidae","Candoia paulsoni",""
"Boidae","Candoia superciliosa",""
"Homalopsidae","Cantoria violacea","venomous bite – unknown dangerousness"
"Colubridae","Caraiba andreae","unclear toxicity"
"Colubridae","Carphophis amoenus","unclear toxicity"
"Colubridae","Carphophis vermis","unclear toxicity"
"Bolyeriidae","Casarea dussumieri","non-venomous"
"Gerrhopilidae","Cathetorhinus melanocephalus","non-venomous"
"Viperidae","Causus bilineatus","venomous bite – potentially dangerous"
"Viperidae","Causus defilippii","venomous bite – potentially dangerous"
"Viperidae","Causus lichtensteinii","venomous bite – potentially dangerous"
"Viperidae","Causus maculatus","venomous bite – dangerous"
"Viperidae","Causus rasmusseni","venomous bite – dangerous"
"Viperidae","Causus resimus","venomous bite – potentially dangerous"
"Viperidae","Causus rhombeatus","venomous bite – potentially dangerous"
"Colubridae","Cemophora coccinea","unclear toxicity"
"Colubridae","Cemophora lineri","unclear toxicity"
"Colubridae","Cenaspis aenigma",""
"Viperidae","Cerastes boehmei","venomous bite – dangerous"
"Viperidae","Cerastes cerastes","venomous bite – dangerous"
"Viperidae","Cerastes gasperettii","venomous bite – dangerous"
"Viperidae","Cerastes vipera","venomous bite – dangerous"
"Homalopsidae","Cerberus australis","venomous bite – unknown dangerousness"
"Homalopsidae","Cerberus dunsoni","venomous bite – unknown dangerousness"
"Homalopsidae","Cerberus microlepis","venomous bite – unknown dangerousness"
"Homalopsidae","Cerberus rynchops","venomous bite – unknown dangerousness"
"Homalopsidae","Cerberus schneiderii","venomous bite – unknown dangerousness"
"Colubridae","Cercophis auratus","unclear toxicity"
"Viperidae","Cerrophidion godmani","venomous bite – dangerous"
"Viperidae","Cerrophidion petlalcalensis","venomous bite – dangerous"
"Viperidae","Cerrophidion sasai","venomous bite – dangerous"
"Viperidae","Cerrophidion tzotzilorum","venomous bite – dangerous"
"Viperidae","Cerrophidion wilsoni","venomous bite – dangerous"
"Lamprophiidae","Chamaelycus christyi","unclear toxicity"
"Lamprophiidae","Chamaelycus fasciatus","unclear toxicity"
"Lamprophiidae","Chamaelycus parkeri","unclear toxicity"
"Colubridae","Chapinophis xanthocheilus","unclear toxicity"
"Boidae","Charina bottae",""
"Boidae","Charina umbratica",""
"Colubridae","Chersodromus australis",""
"Colubridae","Chersodromus liebmanni","unclear toxicity"
"Colubridae","Chersodromus nigrum",""
"Colubridae","Chersodromus rubriventris","unclear toxicity"
"Boidae","Chilabothrus ampelophis",""
"Boidae","Chilabothrus angulifer",""
"Boidae","Chilabothrus argentum",""
"Boidae","Chilabothrus chrysogaster",""
"Boidae","Chilabothrus exsul",""
"Boidae","Chilabothrus fordii",""
"Boidae","Chilabothrus gracilis",""
"Boidae","Chilabothrus granti",""
"Boidae","Chilabothrus inornatus",""
"Boidae","Chilabothrus monensis",""
"Boidae","Chilabothrus schwartzi",""
"Boidae","Chilabothrus striatus",""
"Boidae","Chilabothrus strigilatus",""
"Boidae","Chilabothrus subflavus",""
"Atractaspididae","Chilorhinophis butleri","venomous bite – unknown dangerousness"
"Atractaspididae","Chilorhinophis gerardi","venomous bite – unknown dangerousness"
"Colubridae","Chironius bicarinatus","unclear toxicity"
"Colubridae","Chironius brazili","unclear toxicity"
"Colubridae","Chironius carinatus","unclear toxicity"
"Colubridae","Chironius challenger","unclear toxicity"
"Colubridae","Chironius diamantina","unclear toxicity"
"Colubridae","Chironius dracomaris",""
"Colubridae","Chironius exoletus","unclear toxicity"
"Colubridae","Chironius flavolineatus","unclear toxicity"
"Colubridae","Chironius flavopictus","unclear toxicity"
"Colubridae","Chironius foveatus","unclear toxicity"
"Colubridae","Chironius fuscus","unclear toxicity"
"Colubridae","Chironius gouveai",""
"Colubridae","Chironius grandisquamis","unclear toxicity"
"Colubridae","Chironius laevicollis","unclear toxicity"
"Colubridae","Chironius laurenti","unclear toxicity"
"Colubridae","Chironius leucometapus","unclear toxicity"
"Colubridae","Chironius maculoventris","unclear toxicity"
"Colubridae","Chironius monticola","unclear toxicity"
"Colubridae","Chironius multiventris","unclear toxicity"
"Colubridae","Chironius quadricarinatus","unclear toxicity"
"Colubridae","Chironius scurrula","unclear toxicity"
"Colubridae","Chironius septentrionalis","unclear toxicity"
"Colubridae","Chironius spixii","unclear toxicity"
"Colubridae","Chironius vincenti","unclear toxicity"
"Colubridae","Chlorosoma dunupyana",""
"Colubridae","Chlorosoma laticeps","venomous bite – dangerous"
"Colubridae","Chlorosoma viridissimum","venomous bite – dangerous"
"Colubridae","Chrysopelea ornata","venomous bite – harmless to humans"
"Colubridae","Chrysopelea paradisi","venomous bite – unknown dangerousness"
"Colubridae","Chrysopelea pelias","venomous bite – unknown dangerousness"
"Colubridae","Chrysopelea rhodopleuron","venomous bite – unknown dangerousness"
"Colubridae","Chrysopelea taprobanica","venomous bite – unknown dangerousness"
"Colubridae","Clelia clelia","venomous bite – potentially dangerous"
"Colubridae","Clelia equatoriana","venomous bite – potentially dangerous"
"Colubridae","Clelia errabunda","venomous bite – potentially dangerous"
"Colubridae","Clelia hussami","venomous bite – potentially dangerous"
"Colubridae","Clelia langeri","venomous bite – potentially dangerous"
"Colubridae","Clelia plumbea","venomous bite – potentially dangerous"
"Colubridae","Clelia scytalina","venomous bite – potentially dangerous"
"Colubridae","Clonophis kirtlandii","unclear toxicity"
"Colubridae","Coelognathus enganensis","unclear toxicity"
"Colubridae","Coelognathus erythrurus","unclear toxicity"
"Colubridae","Coelognathus flavolineatus","unclear toxicity"
"Colubridae","Coelognathus helena","unclear toxicity"
"Colubridae","Coelognathus philippinus","unclear toxicity"
"Colubridae","Coelognathus radiatus","unclear toxicity"
"Colubridae","Coelognathus subradiatus","unclear toxicity"
"Colubridae","Collorhabdium williamsoni","unclear toxicity"
"Colubridae","Coluber constrictor","unclear toxicity"
"Colubridae","Colubroelaps nguyenvansangi","unclear toxicity"
"Pseudoxyrhophiidae","Compsophis albiventris","unclear toxicity"
"Pseudoxyrhophiidae","Compsophis boulengeri","unclear toxicity"
"Pseudoxyrhophiidae","Compsophis fatsibe","unclear toxicity"
"Pseudoxyrhophiidae","Compsophis infralineatus","unclear toxicity"
"Pseudoxyrhophiidae","Compsophis laphystius","unclear toxicity"
"Pseudoxyrhophiidae","Compsophis vinckei","unclear toxicity"
"Pseudoxyrhophiidae","Compsophis zeny","unclear toxicity"
"Colubridae","Coniophanes alvarezi","venomous bite – harmless to humans"
"Colubridae","Coniophanes andresensis","venomous bite – harmless to humans"
"Colubridae","Coniophanes bipunctatus","venomous bite – harmless to humans"
"Colubridae","Coniophanes dromiciformis","venomous bite – harmless to humans"
"Colubridae","Coniophanes fissidens","venomous bite – harmless to humans"
"Colubridae","Coniophanes imperialis","venomous bite – harmless to humans"
"Colubridae","Coniophanes joanae","venomous bite – harmless to humans"
"Colubridae","Coniophanes lateritius","venomous bite – harmless to humans"
"Colubridae","Coniophanes longinquus","venomous bite – harmless to humans"
"Colubridae","Coniophanes melanocephalus","venomous bite – harmless to humans"
"Colubridae","Coniophanes meridanus","venomous bite – harmless to humans"
"Colubridae","Coniophanes michoacanensis","venomous bite – harmless to humans"
"Colubridae","Coniophanes piceivittis","venomous bite – harmless to humans"
"Colubridae","Coniophanes quinquevittatus","venomous bite – harmless to humans"
"Colubridae","Coniophanes schmidti","venomous bite – harmless to humans"
"Colubridae","Coniophanes taeniata",""
"Colubridae","Coniophanes taylori","venomous bite – harmless to humans"
"Colubridae","Conophis lineatus","venomous bite – potentially dangerous"
"Colubridae","Conophis morai","venomous bite – potentially dangerous"
"Colubridae","Conophis vittatus","venomous bite – potentially dangerous"
"Colubridae","Conopsis acuta","unclear toxicity"
"Colubridae","Conopsis amphisticha","unclear toxicity"
"Colubridae","Conopsis biserialis","unclear toxicity"
"Colubridae","Conopsis lineata","unclear toxicity"
"Colubridae","Conopsis megalodon","unclear toxicity"
"Colubridae","Conopsis nasus","unclear toxicity"
"Colubridae","Contia longicaudae","unclear toxicity"
"Colubridae","Contia tenuis","unclear toxicity"
"Boidae","Corallus annulatus",""
"Boidae","Corallus batesii",""
"Boidae","Corallus blombergi",""
"Boidae","Corallus caninus",""
"Boidae","Corallus cookii",""
"Boidae","Corallus cropanii",""
"Boidae","Corallus grenadensis",""
"Boidae","Corallus hortulana",""
"Boidae","Corallus ruschenbergerii",""
"Colubridae","Coronelaps lepidus","unclear toxicity"
"Colubridae","Coronella austriaca","unclear toxicity"
"Colubridae","Coronella girondica","unclear toxicity"
"Viperidae","Craspedocephalus anamallensis",""
"Viperidae","Craspedocephalus andalasensis","venomous bite – dangerous"
"Viperidae","Craspedocephalus borneensis","venomous bite – dangerous"
"Viperidae","Craspedocephalus brongersmai","venomous bite – dangerous"
"Viperidae","Craspedocephalus gramineus","venomous bite – dangerous"
"Viperidae","Craspedocephalus macrolepis","venomous bite – dangerous"
"Viperidae","Craspedocephalus malabaricus",""
"Viperidae","Craspedocephalus occidentalis",""
"Viperidae","Craspedocephalus peltopelor",""
"Viperidae","Craspedocephalus puniceus","venomous bite – dangerous"
"Viperidae","Craspedocephalus strigatus","venomous bite – dangerous"
"Viperidae","Craspedocephalus travancoricus",""
"Viperidae","Craspedocephalus trigonocephalus","venomous bite – dangerous"
"Viperidae","Craspedocephalus wiroti","venomous bite – dangerous"
"Colubridae","Crisantophis nevermanni","unclear toxicity"
"Viperidae","Crotalus adamanteus","venomous bite – very dangerous"
"Viperidae","Crotalus angelensis","venomous bite – very dangerous"
"Viperidae","Crotalus aquilus","venomous bite – very dangerous"
"Viperidae","Crotalus armstrongi","venomous bite – dangerous"
"Viperidae","Crotalus atrox","venomous bite – very dangerous"
"Viperidae","Crotalus basiliscus","venomous bite – very dangerous"
"Viperidae","Crotalus brunneus",""
"Viperidae","Crotalus campbelli","venomous bite – dangerous"
"Viperidae","Crotalus catalinensis","venomous bite – very dangerous"
"Viperidae","Crotalus cerastes","venomous bite – very dangerous"
"Viperidae","Crotalus cerberus","venomous bite – very dangerous"
"Viperidae","Crotalus concolor",""
"Viperidae","Crotalus culminatus","venomous bite – very dangerous"
"Viperidae","Crotalus durissus","venomous bite – very dangerous"
"Viperidae","Crotalus ehecatl",""
"Viperidae","Crotalus enyo","venomous bite – very dangerous"
"Viperidae","Crotalus ericsmithi","venomous bite – very dangerous"
"Viperidae","Crotalus estebanensis","venomous bite – very dangerous"
"Viperidae","Crotalus exiguus",""
"Viperidae","Crotalus helleri",""
"Viperidae","Crotalus horridus","venomous bite – very dangerous"
"Viperidae","Crotalus intermedius","venomous bite – very dangerous"
"Viperidae","Crotalus lannomi","venomous bite – very dangerous"
"Viperidae","Crotalus lepidus","venomous bite – very dangerous"
"Viperidae","Crotalus lorenzoensis","venomous bite – very dangerous"
"Viperidae","Crotalus lutosus",""
"Viperidae","Crotalus mictlantecuhtli",""
"Viperidae","Crotalus mitchellii","venomous bite – very dangerous"
"Viperidae","Crotalus molossus","venomous bite – very dangerous"
"Viperidae","Crotalus morulus","venomous bite – very dangerous"
"Viperidae","Crotalus oreganus","venomous bite – very dangerous"
"Viperidae","Crotalus ornatus","venomous bite – very dangerous"
"Viperidae","Crotalus polisi","venomous bite – very dangerous"
"Viperidae","Crotalus polystictus","venomous bite – very dangerous"
"Viperidae","Crotalus pricei","venomous bite – dangerous"
"Viperidae","Crotalus pusillus","venomous bite – dangerous"
"Viperidae","Crotalus pyrrhus","venomous bite – very dangerous"
"Viperidae","Crotalus ravus","venomous bite – very dangerous"
"Viperidae","Crotalus ruber","venomous bite – very dangerous"
"Viperidae","Crotalus scutulatus","venomous bite – very dangerous"
"Viperidae","Crotalus simus","venomous bite – very dangerous"
"Viperidae","Crotalus stejnegeri","venomous bite – very dangerous"
"Viperidae","Crotalus stephensi","venomous bite – very dangerous"
"Viperidae","Crotalus tancitarensis","venomous bite – very dangerous"
"Viperidae","Crotalus thalassoporus","venomous bite – very dangerous"
"Viperidae","Crotalus tigris","venomous bite – dangerous"
"Viperidae","Crotalus tlaloci","venomous bite – very dangerous"
"Viperidae","Crotalus totonacus","venomous bite – very dangerous"
"Viperidae","Crotalus transversus","venomous bite – very dangerous"
"Viperidae","Crotalus triseriatus","venomous bite – very dangerous"
"Viperidae","Crotalus tzabcan","venomous bite – very dangerous"
"Viperidae","Crotalus unicolor",""
"Viperidae","Crotalus vegrandis","venomous bite – very dangerous"
"Viperidae","Crotalus viridis","venomous bite – very dangerous"
"Viperidae","Crotalus willardi","venomous bite – very dangerous"
"Colubridae","Crotaphopeltis barotseensis","venomous bite – unknown dangerousness"
"Colubridae","Crotaphopeltis braestrupi","venomous bite – unknown dangerousness"
"Colubridae","Crotaphopeltis degeni","venomous bite – unknown dangerousness"
"Colubridae","Crotaphopeltis hippocrepis","venomous bite – unknown dangerousness"
"Colubridae","Crotaphopeltis hotamboeia","venomous bite – potentially dangerous"
"Colubridae","Crotaphopeltis tornieri","venomous bite – unknown dangerousness"
"Colubridae","Cryophis hallbergi","unclear toxicity"
"Elapidae","Cryptophis boschmai","venomous bite – very dangerous"
"Elapidae","Cryptophis incredibilis","venomous bite – very dangerous"
"Elapidae","Cryptophis nigrescens","venomous bite – very dangerous"
"Elapidae","Cryptophis nigrostriatus","venomous bite – very dangerous"
"Elapidae","Cryptophis pallidiceps","venomous bite – very dangerous"
"Typhlopidae","Cubatyphlops anchaurus","non-venomous"
"Typhlopidae","Cubatyphlops anousius","non-venomous"
"Typhlopidae","Cubatyphlops arator","non-venomous"
"Typhlopidae","Cubatyphlops biminiensis","non-venomous"
"Typhlopidae","Cubatyphlops caymanensis","non-venomous"
"Typhlopidae","Cubatyphlops contorhinus","non-venomous"
"Typhlopidae","Cubatyphlops epactius","non-venomous"
"Typhlopidae","Cubatyphlops golyathi","non-venomous"
"Typhlopidae","Cubatyphlops notorachius","non-venomous"
"Typhlopidae","Cubatyphlops paradoxus","non-venomous"
"Typhlopidae","Cubatyphlops perimychus","non-venomous"
"Typhlopidae","Cubatyphlops satelles","non-venomous"
"Colubridae","Cubophis brooksi","unclear toxicity"
"Colubridae","Cubophis cantherigerus","unclear toxicity"
"Colubridae","Cubophis caymanus","unclear toxicity"
"Colubridae","Cubophis fuscicauda","unclear toxicity"
"Colubridae","Cubophis ruttyi","unclear toxicity"
"Colubridae","Cubophis vudii","venomous bite – potentially dangerous"
"Cyclocoridae","Cyclocorus lineatus","unclear toxicity"
"Cyclocoridae","Cyclocorus nuchalis","unclear toxicity"
"Typhlopidae","Cyclotyphlops deharvengi","non-venomous"
"Cylindrophiidae","Cylindrophis aruensis","non-venomous"
"Cylindrophiidae","Cylindrophis boulengeri","non-venomous"
"Cylindrophiidae","Cylindrophis burmanus","non-venomous"
"Cylindrophiidae","Cylindrophis engkariensis","non-venomous"
"Cylindrophiidae","Cylindrophis isolepis","non-venomous"
"Cylindrophiidae","Cylindrophis jodiae","non-venomous"
"Cylindrophiidae","Cylindrophis lineatus","non-venomous"
"Cylindrophiidae","Cylindrophis maculatus","non-venomous"
"Cylindrophiidae","Cylindrophis melanotus","non-venomous"
"Cylindrophiidae","Cylindrophis opisthorhodus","non-venomous"
"Cylindrophiidae","Cylindrophis osheai",""
"Cylindrophiidae","Cylindrophis ruffus","non-venomous"
"Cylindrophiidae","Cylindrophis slowinskii",""
"Cylindrophiidae","Cylindrophis subocularis","non-venomous"
"Cylindrophiidae","Cylindrophis yamdena","non-venomous"
"Viperidae","Daboia mauritanica","venomous bite – very dangerous"
"Viperidae","Daboia palaestinae","venomous bite – very dangerous"
"Viperidae","Daboia russelii","venomous bite – very dangerous"
"Viperidae","Daboia siamensis","venomous bite – very dangerous"
"Colubridae","Dasypeltis abyssina","non-venomous"
"Colubridae","Dasypeltis arabica",""
"Colubridae","Dasypeltis atra","non-venomous"
"Colubridae","Dasypeltis bazi","non-venomous"
"Colubridae","Dasypeltis confusa","non-venomous"
"Colubridae","Dasypeltis congolensis",""
"Colubridae","Dasypeltis crucifera",""
"Colubridae","Dasypeltis fasciata","non-venomous"
"Colubridae","Dasypeltis gansi","non-venomous"
"Colubridae","Dasypeltis inornata","non-venomous"
"Colubridae","Dasypeltis latericia","unclear toxicity"
"Colubridae","Dasypeltis loveridgei",""
"Colubridae","Dasypeltis medici","non-venomous"
"Colubridae","Dasypeltis palmarum","unclear toxicity"
"Colubridae","Dasypeltis parascabra","unclear toxicity"
"Colubridae","Dasypeltis sahelensis","non-venomous"
"Colubridae","Dasypeltis scabra","non-venomous"
"Colubridae","Dasypeltis taylori",""
"Viperidae","Deinagkistrodon acutus","venomous bite – very dangerous"
"Elapidae","Demansia angusticeps","venomous bite – dangerous"
"Elapidae","Demansia calodera","venomous bite – dangerous"
"Elapidae","Demansia cyanochasma",""
"Elapidae","Demansia flagellatio","venomous bite – dangerous"
"Elapidae","Demansia olivacea","venomous bite – dangerous"
"Elapidae","Demansia papuensis","venomous bite – dangerous"
"Elapidae","Demansia psammophis","venomous bite – dangerous"
"Elapidae","Demansia quaesitor","venomous bite – dangerous"
"Elapidae","Demansia reticulata","venomous bite – dangerous"
"Elapidae","Demansia rimicola","venomous bite – dangerous"
"Elapidae","Demansia rufescens","venomous bite – dangerous"
"Elapidae","Demansia shinei","venomous bite – dangerous"
"Elapidae","Demansia simplex","venomous bite – dangerous"
"Elapidae","Demansia torquata","venomous bite – dangerous"
"Elapidae","Demansia vestigiata","venomous bite – dangerous"
"Colubridae","Dendrelaphis andamanensis","unclear toxicity"
"Colubridae","Dendrelaphis ashoki","unclear toxicity"
"Colubridae","Dendrelaphis bifrenalis","unclear toxicity"
"Colubridae","Dendrelaphis biloreatus","unclear toxicity"
"Colubridae","Dendrelaphis binhi",""
"Colubridae","Dendrelaphis calligaster","unclear toxicity"
"Colubridae","Dendrelaphis caudolineatus","unclear toxicity"
"Colubridae","Dendrelaphis caudolineolatus","unclear toxicity"
"Colubridae","Dendrelaphis chairecacos","unclear toxicity"
"Colubridae","Dendrelaphis cyanochloris","unclear toxicity"
"Colubridae","Dendrelaphis effrenis","unclear toxicity"
"Colubridae","Dendrelaphis flavescens","unclear toxicity"
"Colubridae","Dendrelaphis formosus","unclear toxicity"
"Colubridae","Dendrelaphis fuliginosus","unclear toxicity"
"Colubridae","Dendrelaphis gastrostictus","unclear toxicity"
"Colubridae","Dendrelaphis girii","unclear toxicity"
"Colubridae","Dendrelaphis grandoculis","unclear toxicity"
"Colubridae","Dendrelaphis grismeri","unclear toxicity"
"Colubridae","Dendrelaphis haasi","unclear toxicity"
"Colubridae","Dendrelaphis hollinrakei","unclear toxicity"
"Colubridae","Dendrelaphis humayuni","unclear toxicity"
"Colubridae","Dendrelaphis inornatus","unclear toxicity"
"Colubridae","Dendrelaphis keiensis","unclear toxicity"
"Colubridae","Dendrelaphis kopsteini","unclear toxicity"
"Colubridae","Dendrelaphis levitoni","unclear toxicity"
"Colubridae","Dendrelaphis lineolatus","unclear toxicity"
"Colubridae","Dendrelaphis lorentzii","unclear toxicity"
"Colubridae","Dendrelaphis luzonensis","unclear toxicity"
"Colubridae","Dendrelaphis macrops","unclear toxicity"
"Colubridae","Dendrelaphis marenae","unclear toxicity"
"Colubridae","Dendrelaphis modestus","unclear toxicity"
"Colubridae","Dendrelaphis ngansonensis","unclear toxicity"
"Colubridae","Dendrelaphis nigroserratus","unclear toxicity"
"Colubridae","Dendrelaphis oliveri","unclear toxicity"
"Colubridae","Dendrelaphis papuensis","venomous bite – potentially dangerous"
"Colubridae","Dendrelaphis philippinensis","unclear toxicity"
"Colubridae","Dendrelaphis pictus","unclear toxicity"
"Colubridae","Dendrelaphis proarchos",""
"Colubridae","Dendrelaphis punctulatus","unclear toxicity"
"Colubridae","Dendrelaphis schokari","unclear toxicity"
"Colubridae","Dendrelaphis striatus","unclear toxicity"
"Colubridae","Dendrelaphis striolatus","unclear toxicity"
"Colubridae","Dendrelaphis subocularis","unclear toxicity"
"Colubridae","Dendrelaphis terrificus","unclear toxicity"
"Colubridae","Dendrelaphis tristis","unclear toxicity"
"Colubridae","Dendrelaphis underwoodi","unclear toxicity"
"Colubridae","Dendrelaphis vogeli",""
"Colubridae","Dendrelaphis walli","unclear toxicity"
"Colubridae","Dendrelaphis wickrorum",""
"Elapidae","Dendroaspis angusticeps","venomous bite – very dangerous"
"Elapidae","Dendroaspis jamesoni","venomous bite – very dangerous"
"Elapidae","Dendroaspis polylepis","venomous bite – extremely dangerous"
"Elapidae","Dendroaspis viridis","venomous bite – very dangerous"
"Lamprophiidae","Dendrolycus elapoides","unclear toxicity"
"Colubridae","Dendrophidion apharocybe","unclear toxicity"
"Colubridae","Dendrophidion atlantica","unclear toxicity"
"Colubridae","Dendrophidion bivittatus","unclear toxicity"
"Colubridae","Dendrophidion boshelli","unclear toxicity"
"Colubridae","Dendrophidion brunneum","unclear toxicity"
"Colubridae","Dendrophidion clarkii","unclear toxicity"
"Colubridae","Dendrophidion crybelum","unclear toxicity"
"Colubridae","Dendrophidion dendrophis","unclear toxicity"
"Colubridae","Dendrophidion graciliverpa","unclear toxicity"
"Colubridae","Dendrophidion nuchale","unclear toxicity"
"Colubridae","Dendrophidion paucicarinatum","unclear toxicity"
"Colubridae","Dendrophidion percarinatum","unclear toxicity"
"Colubridae","Dendrophidion prolixum","unclear toxicity"
"Colubridae","Dendrophidion rufiterminorum","unclear toxicity"
"Colubridae","Dendrophidion vinitor","unclear toxicity"
"Elapidae","Denisonia devisi","venomous bite – dangerous"
"Elapidae","Denisonia maculata","venomous bite – dangerous"
"Colubridae","Diadophis punctatus","venomous bite – potentially dangerous"
"Colubridae","Diaphorolepis laevis","unclear toxicity"
"Colubridae","Diaphorolepis wagneri","unclear toxicity"
"Colubridae","Dibernardia affinis","unclear toxicity"
"Colubridae","Dibernardia bilineata","unclear toxicity"
"Colubridae","Dibernardia persimilis","unclear toxicity"
"Colubridae","Dibernardia poecilopogon","unclear toxicity"
"Homalopsidae","Dieurostus dussumieri","venomous bite – potentially dangerous"
"Colubridae","Dipsadoboa aulica","venomous bite – potentially dangerous"
"Colubridae","Dipsadoboa brevirostris","unclear toxicity"
"Colubridae","Dipsadoboa duchesnii","unclear toxicity"
"Colubridae","Dipsadoboa flavida","unclear toxicity"
"Colubridae","Dipsadoboa kageleri",""
"Colubridae","Dipsadoboa montisilva",""
"Colubridae","Dipsadoboa riparia",""
"Colubridae","Dipsadoboa shrevei","unclear toxicity"
"Colubridae","Dipsadoboa underwoodi","unclear toxicity"
"Colubridae","Dipsadoboa unicolor","unclear toxicity"
"Colubridae","Dipsadoboa viridis","unclear toxicity"
"Colubridae","Dipsadoboa weileri","unclear toxicity"
"Colubridae","Dipsadoboa werneri","unclear toxicity"
"Colubridae","Dipsas albifrons","unclear toxicity"
"Colubridae","Dipsas alternans","unclear toxicity"
"Colubridae","Dipsas andiana","unclear toxicity"
"Colubridae","Dipsas aparatiritos",""
"Colubridae","Dipsas articulata","unclear toxicity"
"Colubridae","Dipsas baliomelas","unclear toxicity"
"Colubridae","Dipsas bicolor","unclear toxicity"
"Colubridae","Dipsas bobridgelyi",""
"Colubridae","Dipsas bothropoides",""
"Colubridae","Dipsas brevifacies","unclear toxicity"
"Colubridae","Dipsas bucephala","unclear toxicity"
"Colubridae","Dipsas catesbyi","unclear toxicity"
"Colubridae","Dipsas chaparensis","unclear toxicity"
"Colubridae","Dipsas cisticeps","unclear toxicity"
"Colubridae","Dipsas copei","unclear toxicity"
"Colubridae","Dipsas elegans","unclear toxicity"
"Colubridae","Dipsas ellipsifera","unclear toxicity"
"Colubridae","Dipsas gaigeae","unclear toxicity"
"Colubridae","Dipsas georgejetti",""
"Colubridae","Dipsas gracilis","unclear toxicity"
"Colubridae","Dipsas incerta","unclear toxicity"
"Colubridae","Dipsas indica","unclear toxicity"
"Colubridae","Dipsas jamespetersi","unclear toxicity"
"Colubridae","Dipsas klebbai",""
"Colubridae","Dipsas latifrontalis",""
"Colubridae","Dipsas lavillai",""
"Colubridae","Dipsas maxillaris","unclear toxicity"
"Colubridae","Dipsas mikanii","unclear toxicity"
"Colubridae","Dipsas neuwiedi","unclear toxicity"
"Colubridae","Dipsas nicholsi","unclear toxicity"
"Colubridae","Dipsas oligozonata","unclear toxicity"
"Colubridae","Dipsas oneilli","unclear toxicity"
"Colubridae","Dipsas oreas","unclear toxicity"
"Colubridae","Dipsas oswaldobaezi",""
"Colubridae","Dipsas pakaraima","unclear toxicity"
"Colubridae","Dipsas palmeri",""
"Colubridae","Dipsas pavonina","unclear toxicity"
"Colubridae","Dipsas peruana","unclear toxicity"
"Colubridae","Dipsas praeornata","unclear toxicity"
"Colubridae","Dipsas pratti","unclear toxicity"
"Colubridae","Dipsas sanctijoannis","unclear toxicity"
"Colubridae","Dipsas sazimai","unclear toxicity"
